AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG
6,634,1
6,614,1
6,614,1
6,619,1
6,614,1
6,619,1
6,619,1
6,614,1
6,619,1
6,619,1
6,612,1
6,614,1
6,619,1
6,619,1
6,673,1
6,677,1
6,677,1
6,673,1
6,694,1
6,698,1
6,694,1
6,698,1
6,614,1
6,675,1
6,675,1
6,631,1
6,631,1
6,691,2
6,691,2
6,626,2
6,626,2
6,631,1
6,631,1
6,631,1
6,629,1
6,673,1
6,629,1
6,673,1
6,631,1
6,631,1
6,673,1
6,629,1
6,631,1
6,631,1
6,629,1
6,629,1
6,631,1
6,631,1
6,673,1
6,629,1
6,631,1
6,694,1
6,634,1
6,698,1
6,694,1
6,634,1
6,698,1
6,627,1
6,698,1
6,694,1
6,694,1
6,694,1
6,694,1
6,698,1
6,614,1
6,698,1
6,634,1
6,634,1
6,694,1
6,614,1
6,698,1
6,698,1
6,698,1
6,619,1
6,612,1
6,619,1
6,619,1
6,619,1
6,612,1
6,614,1
6,614,1
6,619,1
6,677,1
6,699,1
6,699,1
6,614,1
6,675,1
4,405,1
4,405,1
6,631,1
6,631,1
6,631,1
6,631,1
6,631,1
6,673,1
6,673,1
6,673,1
6,629,1
6,673,1
6,631,1
6,631,1
6,673,1
6,631,1
6,631,1
6,673,1
6,631,1
6,629,1
6,631,1
6,631,1
6,634,1
6,634,1
6,694,1
6,614,1
6,694,1
6,694,1
6,694,1
6,627,1
6,614,1
6,698,1
6,694,1
6,694,1
6,694,1
6,612,1
6,614,1
6,614,1
6,619,1
6,614,1
6,614,1
6,614,1
6,614,1
6,677,1
6,677,1
6,677,1
6,677,1
6,677,1
6,622,2
6,626,2
7,730,2
6,622,2
7,730,2
6,675,1
6,655,1
6,655,1
6,631,1
6,631,1
6,631,1
6,673,1
6,673,1
6,631,1
6,673,1
6,673,1
6,614,1
6,698,1
6,698,1
6,614,1
6,698,1
6,698,1
6,634,1
6,634,1
6,698,1
6,634,1
6,698,1
6,698,1
6,634,1
6,634,1
6,634,1
6,694,1
6,634,1
6,614,1
6,698,1
6,694,1
6,619,1
6,614,1
6,614,1
6,612,1
6,614,1
6,612,1
6,619,1
6,675,1
6,675,1
6,675,1
7,740,2
7,740,2
6,694,1
6,694,1
6,631,1
6,631,1
6,631,1
6,631,1
6,698,1
6,698,1
6,694,1
6,694,1
6,614,1
6,698,1
6,694,1
6,634,1
6,634,1
6,694,1
6,698,1
6,694,1
6,634,1
6,614,1
6,619,1
6,619,1
6,619,1
6,619,1
6,619,1
6,619,1
6,619,1
6,614,1
6,677,1
6,698,1
6,698,1
7,740,2
6,675,1
6,675,1
6,675,1
6,698,1
6,698,1
6,655,1
6,698,1
6,655,1
6,698,1
6,675,1
6,675,1
6,629,1
6,673,1
6,629,1
6,631,1
6,673,1
6,631,1
6,673,1
6,694,1
6,694,1
6,614,1
6,694,1
6,694,1
6,694,1
6,694,1
6,619,1
6,614,1
6,614,1
6,614,1
6,619,1
6,698,1
6,622,2
6,673,1
6,629,1
6,673,1
6,673,1
6,629,1
6,694,1
6,694,1
6,694,1
6,614,1
6,698,1
6,694,1
6,694,1
6,634,1
6,634,1
6,698,1
6,612,1
6,619,1
6,614,1
6,612,1
6,619,1
6,612,1
6,619,1
6,677,1
6,698,1
6,698,1
6,698,1
6,691,2
6,626,2
6,675,1
6,675,1
4,405,1
4,405,1
4,479,1
4,479,1
6,698,1
6,629,1
6,614,1
6,694,1
6,694,1
6,614,1
6,634,1
6,634,1
6,614,1
6,614,1
6,614,1
6,619,1
6,614,1
6,619,1
6,698,1
6,698,1
6,675,1
6,694,1
6,694,1
6,631,1
6,631,1
6,629,1
6,694,1
6,698,1
6,614,1
6,694,1
6,614,1
6,634,1
6,694,1
6,619,1
6,622,2
6,675,1
6,698,1
6,698,1
6,698,1
6,631,1
6,629,1
6,694,1
6,614,1
6,614,1
6,614,1
6,614,1
6,694,1
6,634,1
6,698,1
6,694,1
6,698,1
6,694,1
6,698,1
6,694,1
6,698,1
6,698,1
6,698,1
6,698,1
6,622,2
6,629,1
6,694,1
6,614,1
6,614,1
6,614,1
6,698,1
6,614,1
6,614,1
6,614,1
6,619,1
6,614,1
6,699,1
6,699,1
6,673,1
6,629,1
6,673,1
6,614,1
6,614,1
6,634,1
6,614,1
6,677,1
6,694,1
6,694,1
7,732,2
6,675,1
6,675,1
6,675,1
6,673,1
6,673,1
8,888,1
6,629,1
6,614,1
6,694,1
6,698,1
6,614,1
6,614,1
6,677,1
6,694,1
6,694,1
6,698,1
6,698,1
6,698,1
6,698,1
6,622,2
6,622,2
6,622,2
7,732,2
6,622,2
6,675,1
6,675,1
4,458,1
4,458,1
6,622,1
6,622,1
6,631,1
6,673,1
6,631,1
6,673,1
6,631,1
6,673,1
6,698,1
6,634,1
6,634,1
6,634,1
6,694,1
6,698,1
6,614,1
6,634,1
6,634,1
6,619,1
6,698,1
6,694,1
6,698,1
6,694,1
6,675,1
6,631,1
6,673,1
6,631,1
6,673,1
6,631,1
6,634,1
6,614,1
6,698,1
6,698,1
6,634,1
6,614,1
6,698,1
6,694,1
6,694,1
6,694,1
6,634,1
6,614,1
6,677,1
6,675,1
6,675,1
6,675,1
6,691,2
6,691,2
6,691,2
6,691,2
6,691,2
6,631,1
6,631,1
6,673,1
6,698,1
6,698,1
6,698,1
6,698,1
6,634,1
6,614,1
6,698,1
6,634,1
8,889,1
6,698,1
6,614,1
6,698,1
8,889,1
6,694,1
6,677,1
6,677,1
6,677,1
6,677,1
6,677,1
6,698,1
6,622,2
6,622,2
6,691,2
6,631,1
6,631,1
6,631,1
6,631,1
6,673,1
6,673,1
6,629,1
6,631,1
6,673,1
6,673,1
6,631,1
6,694,1
6,694,1
6,694,1
